Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Comoros,COM,47.59433365,45.34594727,51.12133408,63.91786194,70.61806488,67.79858398,65.72916412,69.87202454,73.75498962,69.4848938,69.21523285,81.19863892,77.10220337,81.81765747,84.63935852,61.16300201,63.53099442,75.01337433,74.89152527,78.23674774,89.67817688,100.04210663,122.93584442,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Congo, Dem. Rep.",COD,17.52071953,5.4341011,4.17578602,6.03257608,7.83304834,8.55065727,10.37645721,11.5629034,15.36659527,12.75762081,12.1423111,11.89942932,13.20595551,15.37901688,18.22281265,18.57252884,19.3114109,18.14648819,17.29077148,19.20812035,20.5593071,21.58848572,24.38615036,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Congo, Rep.",COG,17.35089302,20.30390549,16.99031258,21.51475716,27.50056839,30.90304375,35.94208145,41.96711731,63.41820908,48.65313721,54.56225586,59.51348114,71.2766571,71.85824585,71.03118896,57.30290604,54.3000145,52.29982376,47.310215,58.42106628,80.09735107,79.3296051,50.60568619,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Costa Rica,CRI,250.30950928,258.00057983,279.41705322,290.83309937,293.77548218,313.48355103,364.52426147,429.41894531,518.1114502,537.06317139,663.69165039,753.42633057,788.53100586,829.93658447,836.23120117,889.3762207,884.73028564,867.76733398,917.31018066,930.43511963,969.89099121,977.14831543,978.84155273,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cote d'Ivoire,CIV,33.58165741,33.94552612,36.06715393,43.81231308,47.04700851,46.69436264,47.08904266,56.15083694,64.67678833,71.06480408,70.04605103,67.97618103,69.86203003,67.13149261,74.3581543,58.43181992,61.85705566,63.77943039,65.87952423,68.30471039,78.97766876,92.39588928,86.15213013,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Croatia,HRV,371.06213379,388.32489014,386.4440918,512.15216064,634.62036133,727.13104248,816.01702881,1041.03442383,1258.87243652,1187.54528809,1126.37365723,1132.49890137,1029.97119141,889.94458008,909.37164307,795.50836182,840.90124512,902.62518311,1024.62414551,1040.08569336,1094.53283691,1384.11914063,1344.19006348,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cuba,CUB,181.09315491,198.49874878,213.81524658,227.49208069,232.22746277,331.50354004,386.8258667,569.43585205,609.27282715,675.53399658,608.5847168,695.81542969,601.74957275,712.26629639,867.69702148,991.08496094,990.92346191,987.81030273,981.90283203,1023.39715576,1199.35327148,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Cyprus,CYP,750.51672363,782.16162109,890.48297119,1145.05847168,1286.97155762,1366.01708984,1474.02062988,1694.27185059,2155.24658203,2105.4777832,2045.2923584,2114.66894531,1899.37255859,1916.32263184,1873.89135742,1596.2052002,1649.41247559,1773.41162109,2020.73339844,2093.0612793,2483.06005859,3118.24267578,2864.15649414,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Czechia,CZE,342.92108154,388.54403687,497.74203491,640.66040039,746.32891846,852.65246582,942.11804199,1110.17663574,1449.33679199,1442.24279785,1509.44726563,1649.15905762,1509.77526855,1508.79907227,1512.59326172,1308.8013916,1374.9005127,1516.75012207,1750.81188965,1805.44030762,2106.28027344,2538.03344727,2431.08496094,2609.24072266,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Denmark,DNK,2496.04711914,2602.64306641,2895.80737305,3607.04296875,4194.87353516,4442.75488281,4778.89208984,5468.37939453,6137.77636719,6221.68896484,6171.28515625,6438.21240234,6168.33935547,6334.41552734,6466.89794922,5531.87890625,5624.32861328,5834.02050781,6232.72167969,6058.83007813,6530.47509766,7465.77294922,6456.08398438,6432.37158203,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Djibouti,DJI,35.48954773,33.61427689,39.49966431,46.27521896,40.04951477,45.12551498,53.26344299,55.18254471,55.90976715,56.92132568,55.7044487,61.89852524,64.8536911,60.57233047,65.53726196,79.54257965,68.82740021,64.65093994,68.46080017,68.27401733,66.92816925,87.16930389,81.80969238,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Dominica,DMA,259.0213623,231.52333069,226.86923218,242.78863525,253.70576477,263.66098022,271.24331665,293.30905151,336.0015564,354.04888916,369.75668335,387.11709595,407.42053223,382.10519409,389.05343628,396.23742676,424.15756226,415.87072754,503.34179688,465.63766479,457.01919556,521.84313965,574.41748047,..,..
