Country / Region,Disease,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Niger,Measles,"2,362","1,708","12,898","9,271","2,754","10,321","5,034","1,171",776,"7,693","1,142","1,224",272,771,372,801,"1,317",282,59,"2,183","63,057","54,190","31,584","61,208","21,319"
Nigeria,Measles,"14,999","20,143","23,983","10,649","8,877","28,094","7,063","11,190","17,136","12,423","6,855","52,852","6,447","18,843","8,491","1,272","9,960","2,613",704,"110,927","31,521","141,258","42,007","168,107","212,183"
Niue,Measles,,,0,,,0,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0
North Macedonia,Measles,2,1,0,1,0,"1,819",64,19,0,1,116,4,7,701,217,5,27,1,3,5,9,18,19,27,36
Northern Mariana Islands,Measles,0,0,,,,0,0,,,,,0,,0,0,0,0,0,,0,0,0,,,0
Norway,Measles,10,2,1,0,4,18,12,1,0,14,3,8,4,39,3,2,4,,0,0,7,8,5,4,0
"occupied Palestinian territory, including east Jerusalem",Measles,,3,,11,"1,001",228,0,63,,,,,,,1,,,,,,,,,,5
Oman,Measles,13,25,5,0,7,0,0,9,111,0,,0,13,5,3,19,18,24,13,25,18,1,5,15,15
Pakistan,Measles,"24,709","17,722","8,378","10,399","2,747","2,066","33,007","9,175","2,703",386,"1,370","8,749","8,046","4,386","4,321",863,"1,129","2,801","7,641","2,981","4,248","4,740","3,903","3,849","2,064"
Palau,Measles,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0
Panama,Measles,0,,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,Measles,47,12,2,0,4,1,19,7,0,38,"2,299",12,0,0,0,0,0,0,1,"1,222","1,385","3,863","17,620","4,023","7,135"
Paraguay,Measles,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Measles,2,0,0,0,0,2,42,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Philippines,Measles,"3,844","2,892",589,206,"3,832","48,525","20,827","2,428",716,619,"58,848","2,920","1,536","6,538","6,368","1,469",341,530,9,118,"3,025","10,511","7,003","7,360","7,120"
Poland,Measles,272,35,27,13,29,"1,367",359,63,123,,,84,71,,13,115,,40,120,13,11,48,34,133,77
Portugal,Measles,35,0,0,0,10,10,162,34,34,0,,1,23,2,5,3,1,0,0,7,5,8,8,,45
Qatar,Measles,55,127,1,1,3,5,2,9,30,18,46,73,160,101,295,112,,361,144,74,29,24,34,23,46
Republic of Korea,Measles,49,7,,0,6,194,15,5,18,7,442,107,2,42,114,17,2,194,28,7,11,33,62,"23,060","32,647"
Republic of Moldova,Measles,216,3,,0,,90,340,0,0,0,2,27,11,0,0,0,0,10,34,6,4,87,"4,929",457,687
Romania,Measles,"25,505","3,677",17,2,"1,004","3,900","6,407","9,076","2,435",4,59,"1,159","7,450","4,189",193,8,12,353,"3,196","5,043",117,9,14,10,35
Russian Federation,Measles,"22,455","13,083",102,1,"1,212","4,491","2,539",721,178,843,"4,711","2,339","2,123",629,129,101,27,173,"1,147",454,"2,444","3,291",580,"2,072","4,800"
Rwanda,Measles,53,108,29,40,108,818,229,145,95,1,10,17,75,31,121,5,6,26,494,129,386,"1,064","2,738",896,"2,095"
Saba,Measles,0,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
