Country / Region,Disease,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Mozambique,Measles,35.7,19.5,32.1,19.5,13.8,2.1,0.6,4.3,,3,0.3,0.3,6,7.5,100.9,2.7,0.2,12.5,8.8,620.5,473.6,"1,490.20",377.4,382.2,406.8
Myanmar,Measles,0.6,0.3,0.2,0.1,8.4,99.8,26.6,24.9,5.2,0.1,2.4,20.1,43.6,41.4,3.9,6.8,6.9,22.6,15.9,6.6,28.2,17.8,15.9,55,18.7
Namibia,Measles,5,14.2,10.7,1.4,1.8,4.5,3.5,6.4,16.4,89.3,206.3,456.4,39.2,36.8,"1,487.30","1,962.10",0,10.4,1.5,2,2.1,136.6,676.2,224,257.9
Nauru,Measles,0,,,,,0,,,0,,,,"1,071.40",0,,0,0,0,0,0,0,,0,0,0
Nepal,Measles,3.8,32.4,4.4,4.9,13.4,15.1,9.3,3.5,45.4,57.5,46.2,67.5,122.1,85.9,6.9,7,77.4,52.8,106.8,190.9,464.1,519.4,266.5,434.9,382.8
Netherlands (Kingdom of the),Measles,11.1,0.4,0.3,0,0.1,4.8,1.4,0.9,0.3,0.4,8.2,155.1,0.6,3,0.9,0.9,6.6,0.6,0.1,0.2,0.7,0.2,0.2,,63.5
New Caledonia,Measles,0,0,0,,,,0,3.5,,,,0,0,0,0,0,0,0,,0,,0,,0,0
New Zealand,Measles,0.2,,0,0,1.4,438.7,6.1,3.1,21.8,2.2,61.9,1.8,15.4,136.2,9.9,46,,5.9,4.8,4.8,8.1,16.4,5.3,16.7,16.8
Nicaragua,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,Measles,87.4,65.3,509.6,378.4,116.1,449.8,226.9,54.6,37.5,385.8,59.4,66.1,15.2,44.9,22.5,50.2,85.7,19,4.1,158.7,"4,753.30","4,234.60","2,557.60","5,134.60","1,852.30"
Nigeria,Measles,64.5,88.4,107.5,48.7,41.5,134.1,34.5,55.9,87.7,65.2,36.9,291.9,36.6,109.9,51,7.8,63.2,17,4.7,764.9,223.5,"1,029.60",314.7,"1,294.50","1,678.90"
Niue,Measles,,,0,,,0,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0
North Macedonia,Measles,1.1,0.5,0,0.5,0,958.6,33.3,9.8,0,0.5,58.1,2,3.5,343.6,105.8,2.4,13,0.5,1.4,2.4,4.3,8.6,9.2,13.1,17.5
Northern Mariana Islands,Measles,0,0,,,,0,0,,,,,0,,0,0,0,0,0,,0,0,0,,,0
